# Manually converted from free_period.txt captured by Tek scope
# s?\([\-0-9\.]\+\)\s\([\-0-9\.]\+\)?\1,\2?g
7.534,-2.512
7.536,-2.512
7.538,-2.52
7.54,-2.512
7.542,-2.512
7.544,-2.512
7.546,-2.512
7.548,-2.512
7.55,-2.504
7.552,-2.512
7.554,-2.504
7.556,-2.512
7.558,-2.512
7.56,-2.504
7.562,-2.504
7.564,-2.504
7.566,-2.512
7.568,-2.504
7.57,-2.512
7.572,-2.512
7.574,-2.504
7.576,-2.512
7.578,-2.512
7.58,-2.496
7.582,-2.504
7.584,-2.512
7.586,-2.512
7.588,-2.512
7.59,-2.504
7.592,-2.504
7.594,-2.504
7.596,-2.512
7.598,-2.512
7.6,-2.504
7.602,-2.504
7.604,-2.512
7.606,-2.512
7.608,-2.512
7.61,-2.512
7.612,-2.488
7.614,-2.512
7.616,-2.504
7.618,-2.504
7.62,-2.512
7.622,-2.512
7.624,-2.504
7.626,-2.512
7.628,-2.512
7.63,-2.504
7.632,-2.504
7.634,-2.512
7.636,-2.512
7.638,-2.504
7.64,-2.512
7.642,-2.504
7.644,-2.512
7.646,-2.512
7.648,-2.512
7.65,-2.512
7.652,-2.504
7.654,-2.512
7.656,-2.512
7.658,-2.512
7.66,-2.512
7.662,-2.512
7.664,-2.504
7.666,-2.504
7.668,-2.504
7.67,-2.496
7.672,-2.504
7.674,-2.512
7.676,-2.512
7.678,-2.504
7.68,-2.504
7.682,-2.504
7.684,-2.504
7.686,-2.496
7.688,-2.504
7.69,-2.504
7.692,-2.504
7.694,-2.496
7.696,-2.496
7.698,-2.496
7.7,-2.496
7.702,-2.488
7.704,-2.488
7.706,-2.496
7.708,-2.488
7.71,-2.488
7.712,-2.488
7.714,-2.488
7.716,-2.488
7.718,-2.488
7.72,-2.488
7.722,-2.488
7.724,-2.48
7.726,-2.488
7.728,-2.488
7.73,-2.488
7.732,-2.48
7.734,-2.488
7.736,-2.488
7.738,-2.488
7.74,-2.48
7.742,-2.472
7.744,-2.48
7.746,-2.48
7.748,-2.48
7.75,-2.472
7.752,-2.48
7.754,-2.472
7.756,-2.464
7.758,-2.464
7.76,-2.464
7.762,-2.456
7.764,-2.464
7.766,-2.456
7.768,-2.464
7.77,-2.472
7.772,-2.472
7.774,-2.464
7.776,-2.456
7.778,-2.472
7.78,-2.464
7.782,-2.464
7.784,-2.464
7.786,-2.464
7.788,-2.456
7.79,-2.464
7.792,-2.464
7.794,-2.456
7.796,-2.456
7.798,-2.456
7.8,-2.464
7.802,-2.464
7.804,-2.456
7.806,-2.464
7.808,-2.456
7.81,-2.456
7.812,-2.456
7.814,-2.456
7.816,-2.456
7.818,-2.456
7.82,-2.456
7.822,-2.456
7.824,-2.456
7.826,-2.456
7.828,-2.456
7.83,-2.456
7.832,-2.456
7.834,-2.448
7.836,-2.448
7.838,-2.44
7.84,-2.448
7.842,-2.448
7.844,-2.448
7.846,-2.448
7.848,-2.448
7.85,-2.448
7.852,-2.448
7.854,-2.448
7.856,-2.448
7.858,-2.44
7.86,-2.448
7.862,-2.448
7.864,-2.44
7.866,-2.44
7.868,-2.44
7.87,-2.432
7.872,-2.44
7.874,-2.432
7.876,-2.44
7.878,-2.432
7.88,-2.432
7.882,-2.424
7.884,-2.424
7.886,-2.424
7.888,-2.424
7.89,-2.424
7.892,-2.424
7.894,-2.424
7.896,-2.424
7.898,-2.416
7.9,-2.416
7.902,-2.416
7.904,-2.416
7.906,-2.408
7.908,-2.416
7.91,-2.408
7.912,-2.408
7.914,-2.408
7.916,-2.416
7.918,-2.408
7.92,-2.4
7.922,-2.4
7.924,-2.4
7.926,-2.4
7.928,-2.4
7.93,-2.4
7.932,-2.4
7.934,-2.392
7.936,-2.392
7.938,-2.392
7.94,-2.392
7.942,-2.392
7.944,-2.392
7.946,-2.392
7.948,-2.384
7.95,-2.392
7.952,-2.392
7.954,-2.392
7.956,-2.384
7.958,-2.392
7.96,-2.384
7.962,-2.384
7.964,-2.384
7.966,-2.384
7.968,-2.376
7.97,-2.384
7.972,-2.376
7.974,-2.384
7.976,-2.376
7.978,-2.376
7.98,-2.384
7.982,-2.376
7.984,-2.376
7.986,-2.376
7.988,-2.376
7.99,-2.376
7.992,-2.376
7.994,-2.376
7.996,-2.376
7.998,-2.368
8,-2.368
8.002,-2.368
8.004,-2.368
8.006,-2.36
8.008,-2.36
8.01,-2.36
8.012,-2.36
8.014,-2.36
8.016,-2.36
8.018,-2.36
8.02,-2.36
8.022,-2.352
8.024,-2.352
8.026,-2.352
8.028,-2.352
8.03,-2.344
8.032,-2.352
8.034,-2.352
8.036,-2.344
8.038,-2.344
8.04,-2.344
8.042,-2.352
8.044,-2.344
8.046,-2.344
8.048,-2.344
8.05,-2.344
8.052,-2.336
8.054,-2.336
8.056,-2.336
8.058,-2.336
8.06,-2.328
8.062,-2.336
8.064,-2.328
8.066,-2.328
8.068,-2.328
8.07,-2.328
8.072,-2.328
8.074,-2.328
8.076,-2.328
8.078,-2.312
8.08,-2.32
8.082,-2.32
8.084,-2.32
8.086,-2.312
8.088,-2.32
8.09,-2.312
8.092,-2.312
8.094,-2.312
8.096,-2.312
8.098,-2.312
8.1,-2.312
8.102,-2.304
8.104,-2.304
8.106,-2.304
8.108,-2.296
8.11,-2.296
8.112,-2.304
8.114,-2.304
8.116,-2.296
8.118,-2.296
8.12,-2.296
8.122,-2.288
8.124,-2.288
8.126,-2.288
8.128,-2.288
8.13,-2.288
8.132,-2.296
8.134,-2.288
8.136,-2.288
8.138,-2.288
8.14,-2.288
8.142,-2.288
8.144,-2.288
8.146,-2.28
8.148,-2.28
8.15,-2.28
8.152,-2.28
8.154,-2.288
8.156,-2.288
8.158,-2.28
8.16,-2.28
8.162,-2.28
8.164,-2.28
8.166,-2.28
8.168,-2.28
8.17,-2.28
8.172,-2.28
8.174,-2.28
8.176,-2.28
8.178,-2.272
8.18,-2.272
8.182,-2.264
8.184,-2.264
8.186,-2.264
8.188,-2.272
8.19,-2.264
8.192,-2.264
8.194,-2.264
8.196,-2.256
8.198,-2.256
8.2,-2.256
8.202,-2.248
8.204,-2.248
8.206,-2.248
8.208,-2.256
8.21,-2.248
8.212,-2.248
8.214,-2.248
8.216,-2.248
8.218,-2.248
8.22,-2.248
8.222,-2.248
8.224,-2.24
8.226,-2.24
8.228,-2.248
8.23,-2.24
8.232,-2.24
8.234,-2.24
8.236,-2.24
8.238,-2.24
8.24,-2.232
8.242,-2.232
8.244,-2.24
8.246,-2.232
8.248,-2.224
8.25,-2.232
8.252,-2.232
8.254,-2.232
8.256,-2.224
8.258,-2.224
8.26,-2.224
8.262,-2.224
8.264,-2.216
8.266,-2.224
8.268,-2.216
8.27,-2.216
8.272,-2.216
8.274,-2.216
8.276,-2.216
8.278,-2.216
8.28,-2.208
8.282,-2.208
8.284,-2.208
8.286,-2.208
8.288,-2.208
8.29,-2.2
8.292,-2.2
8.294,-2.2
8.296,-2.2
8.298,-2.2
8.3,-2.2
8.302,-2.2
8.304,-2.2
8.306,-2.192
8.308,-2.192
8.31,-2.192
8.312,-2.192
8.314,-2.192
8.316,-2.192
8.318,-2.192
8.32,-2.192
8.322,-2.184
8.324,-2.192
8.326,-2.184
8.328,-2.184
8.33,-2.184
8.332,-2.192
8.334,-2.184
8.336,-2.184
8.338,-2.192
8.34,-2.184
8.342,-2.184
8.344,-2.184
8.346,-2.184
8.348,-2.184
8.35,-2.176
8.352,-2.176
8.354,-2.176
8.356,-2.176
8.358,-2.176
8.36,-2.176
8.362,-2.176
8.364,-2.176
8.366,-2.176
8.368,-2.176
8.37,-2.176
8.372,-2.176
8.374,-2.176
8.376,-2.176
8.378,-2.176
8.38,-2.176
8.382,-2.168
8.384,-2.176
8.386,-2.168
8.388,-2.168
8.39,-2.176
8.392,-2.168
8.394,-2.168
8.396,-2.168
8.398,-2.168
8.4,-2.168
8.402,-2.168
8.404,-2.168
8.406,-2.168
8.408,-2.168
8.41,-2.16
8.412,-2.16
8.414,-2.16
8.416,-2.16
8.418,-2.16
8.42,-2.16
8.422,-2.16
8.424,-2.16
8.426,-2.16
8.428,-2.16
8.43,-2.16
8.432,-2.16
8.434,-2.16
8.436,-2.152
8.438,-2.152
8.44,-2.16
8.442,-2.16
8.444,-2.152
8.446,-2.152
8.448,-2.152
8.45,-2.152
8.452,-2.152
8.454,-2.152
8.456,-2.152
8.458,-2.152
8.46,-2.152
8.462,-2.152
8.464,-2.144
8.466,-2.144
8.468,-2.144
8.47,-2.144
8.472,-2.144
8.474,-2.144
8.476,-2.144
8.478,-2.144
8.48,-2.136
8.482,-2.136
8.484,-2.136
8.486,-2.144
8.488,-2.136
8.49,-2.136
8.492,-2.136
8.494,-2.128
8.496,-2.136
8.498,-2.128
8.5,-2.128
8.502,-2.128
8.504,-2.128
8.506,-2.128
8.508,-2.128
8.51,-2.128
8.512,-2.128
8.514,-2.128
8.516,-2.128
8.518,-2.128
8.52,-2.128
8.522,-2.128
8.524,-2.128
8.526,-2.12
8.528,-2.128
8.53,-2.12
8.532,-2.12
8.534,-2.12
8.536,-2.12
8.538,-2.12
8.54,-2.12
8.542,-2.12
8.544,-2.12
8.546,-2.12
8.548,-2.12
8.55,-2.12
8.552,-2.12
8.554,-2.12
8.556,-2.12
8.558,-2.12
8.56,-2.112
8.562,-2.112
8.564,-2.112
8.566,-2.112
8.568,-2.12
8.57,-2.112
8.572,-2.12
8.574,-2.112
8.576,-2.112
8.578,-2.112
8.58,-2.112
8.582,-2.112
8.584,-2.112
8.586,-2.112
8.588,-2.112
8.59,-2.112
8.592,-2.112
8.594,-2.112
8.596,-2.112
8.598,-2.112
8.6,-2.112
8.602,-2.112
8.604,-2.112
8.606,-2.112
8.608,-2.112
8.61,-2.112
8.612,-2.104
8.614,-2.112
8.616,-2.112
8.618,-2.112
8.62,-2.112
8.622,-2.112
8.624,-2.112
8.626,-2.112
8.628,-2.112
8.63,-2.112
8.632,-2.112
8.634,-2.112
8.636,-2.112
8.638,-2.112
8.64,-2.112
8.642,-2.112
8.644,-2.112
8.646,-2.112
8.648,-2.112
8.65,-2.112
